Assembly District (current),City,Company Name,Congressional District (current),County,HID,Management,Number of buildings in project,Project status,School district name,School district SDL code,State Senate District (current),Street Address,Total units in project,Type,Zip,x,y
103,Kingston,Broadway East (Springbrook Village),18,Ulster,U025,"Winn Managed Properties, LLC",5,Active,KINGSTON CITY SD,620600,41,3 Garraghan Drive,122,RENT,12401,,
78,Bronx,Twin Parks N.E. 2 (Grote St.),15,Bronx,U031,Reliant Realty Services Inc.,1,Active,NYC GEOG DIST #10 - BRONX,321000,33,2311 Southern Boulevard,249,RENT,10460,,
100,Middletown,College Hill,18,Orange,U037,"Marathon Management Group,  LLC",7,Active,MIDDLETOWN CITY SD,441000,42,63-34 South Street,75,RENT,10940,,
108,Waterviliet,Van Rensselaer Village,20,Albany,U044,Watervliet Housing Auth.,17,Active,WATERVLIET CITY SD,011200,43,16th Street/Early Drive,81,RENT,12189,,
126,Auburn,Oak Creek Town Homes,24,Cayuga,U049,Home Leasing LLC,26,Active,AUBURN CITY SD,050100,48,Quill Avenue/Chapman Ave.,150,RENT,13021,,
125,Ithaca,West Village,19,Tompkins,U050,Reliant Realty Services Inc.,18,Active,ITHACA CITY SD,610600,52,NULL,235,RENT,14850,,
89,Yonkers,Riverview 1 (Buena Vista),16,Westchester,U059,GRC Management,8,Active,YONKERS CITY SD,662300,35,85 Riverdale Avenue,454,RENT,10701,,
46,Brooklyn,Sea Rise 1 (BP Neptune 33),8,Kings,U065,GRC Management,3,Active,NYC GEOG DIST #21 - BROOKLYN,332100,23,3325 Neptune Avenue,334,RENT,11224,,
46,Brooklyn,Sea Rise 2 (Bay Park 2),8,Kings,U066,GRC Management,3,Active,NYC GEOG DIST #21 - BROOKLYN,332100,23,3415 Neptune Avenue,338,RENT,11224,,
119,Rome,Park Drive Manor,22,Oneida,U081,"CRM Rental Management Inc, Rome Office",12,Active,ROME CITY SD,411800,53,100 Park Drive,102,RENT,13440,,
56,Brooklyn,Smith-Woodward,8,Kings,U083,The Amistad Management Corporation,1,Active,NYC GEOG DIST #16 - BROOKLYN,331600,20,1660 Fulton Street,141,RENT,11213,,
56,Brooklyn,Fulton Park Plaza,8,Kings,U084,Bushburg Properties Inc.,1,Active,NYC GEOG DIST #16 - BROOKLYN,331600,25,1711 Fulton Street,287,RENT,11233,,
58,Brooklyn,Rutland Road Houses,9,Kings,U085,The Amistad Management Corporation,1,Active,NYC GEOG DIST #17 - BROOKLYN,331700,19,60 East 93rd Street,438,RENT,11212,,
69,New York,Cathedral Parkway,13,New York,U087,"Cathedral Pkwy Towers Mgmt., Inc.",2,Active,NYC GEOG DIST # 3 - MANHATTAN,310300,30,418 West 110th Street,309,RENT,10025,,
46,Brooklyn,Harbor View (Surf 21),8,Kings,U089,GRC Management,2,Active,NYC GEOG DIST #21 - BROOKLYN,332100,23,2920 West 21st Street,224,RENT,11224,,
46,Brooklyn,Northbay Estates,8,Kings,U090,GRC Management,13,Active,NYC GEOG DIST #21 - BROOKLYN,332100,23,2730 West 33rd Street,542,RENT,11224,,
84,Bronx,Michaelangelo,15,Bronx,U092,U/A Management Corp.,4,Active,NYC GEOG DIST # 7 - BRONX,320700,29,225 East 149th Street,494,RENT,10451,,
137,Rochester,St. Simons Terrace,25,Monroe,U102,"Landsman Real Estate Services, Inc.",12,Active,ROCHESTER CITY SD,261600,56,360 Saint Paul Street,256,RENT,14605,,
134,Rochester,English Road,25,Monroe,U103,Winn Management Company LLC,44,Active,GREECE CSD,260501,56,1100 English Road,550,RENT,14616,,
129,Syracuse,Valley Vista,22,Onondaga,U109,"Sutton Real Estate Company, LLC ",1,Active,SYRACUSE CITY SD,421800,48,122 West Seneca Turnpike,124,RENT,13205,,
89,Yonkers,Riverview 2,16,Westchester,U116,"Related Mgmt. Co., L.P.",3,Active,YONKERS CITY SD,662300,35,47 Riverdale Avenue,343,RENT,10701,,
70,New York,Canaan House,13,New York,U118,"Hope Community, Inc.",1,Active,NYC GEOG DIST # 3 - MANHATTAN,310300,30,8 West 118th Street,146,RENT,10026,,
127,Syracuse,Centerville Court,22,Onondaga,U126,"Home Leasing, LLC",12,Active,NORTH SYRACUSE CSD,420303,50,400 Sandra Lane,152,RENT,13212,,
119,Rome,Madison Plaza,22,Oneida,U175,"CRM Rental Management Inc, Buffalo Office",3,Active,ROME CITY SD,411800,53,100 North Madison Street,127,RENT,13440,,
55,Brooklyn,Marcus Garvey Village,8,Kings,U180,"C & C Apartment Management, LLC",32,Active,NYC GEOG DIST #23 - BROOKLYN,332300,19,353 Chester Street,625,RENT,11212,,
126,Baldwinsville,Radisson Lys. (Greenway Apts),22,Onondaga,U187,"CRM Rental Management Inc, Rome Office",27,Active,BALDWINSVILLE CSD,420901,48,8664 Oberon Drive,208,RENT,13027,,
149,Hamburg,Creek Bend Heights,23,Erie,U189,Creek Bend Heights,1,Active,HAMBURG CSD,141601,60,25 Buffalo Street,130,RENT,14075,,
124,Elmira,Eastgate Homes,23,Chemung,U192,"Home Leasing Housing, LLC",12,Active,ELMIRA CITY SD,070600,58,150 Harriet Street,102,RENT,14901,,
132,Painted Post,Village Square Apartments,23,Steuben,U196,"Conifer Management, LLC",1,Active,CORNING CITY SD,571000,58,250 North Hamilton Street,75,RENT,14870,,
132,Hornell,Maple Court Homes,23,Steuben,U197,Pfeil Real Estate,7,Active,HORNELL CITY SD,571800,58,480 Maple City Drive,80,RENT,14843,,
128,Syracuse,Madison Towers (Manor),22,Onondaga,U228,HallKeen,41,Active,SYRACUSE CITY SD,421800,48,60 Presidental Plaza,232,RENT,13202,,
56,Brooklyn,Bed-Stuy Restoration (Willoughby Court),8,Kings,U237,Shinda Management Corp. ,4,Active,NYC GEOG DIST #16 - BROOKLYN,331600,25,1368 Fulton Street,267,RENT,11216,,
119,Utica,Parkedge,22,Oneida,U281,"CRM Rental Management Inc, Rome Office",27,Active,UTICA CITY SD,412300,53,544 Deborah Drive,184,RENT,13502,,
