HFA ID,Address,Building Units,Owner Name,HUD LIHTC ID,BBL / Parcel ID,BIN (NYC DOB),Census Tract (2020),Assembly District,State Senate District,Congressional District,latitude,longitude,Property name,Total Project Units,Number of buildings in project,Management name,Contact address,Contact phone,Contact email,County,New Construction / Rehab,Placed-in-Service date,Floodplain 100-yr / 500-yr flag,School district name,School district SDL code,x,y
1635,"3476 Route 6, Town of Wawayanda, 10940",24,"Horizons at Wawayanda, LLC",NY-10-90004,,NA,36071011801,98,42,18,41.419393,-74.430589,Horizons at Wawayanda - 5237,107,6,The Michaels Organization,,,,Orange,New Construction,11/25/2008,Not in floodplain,MIDDLETOWN CITY SD,441000,547583.6017329975,4585471.790549443
1635,"3476 Route 6, Town of Wawayanda, 10940",24,"Horizons at Wawayanda, LLC",NY-10-90005,,NA,36071011801,98,42,18,41.419393,-74.430589,Horizons at Wawayanda - 5237,107,6,The Michaels Organization,,,,Orange,New Construction,10/30/2008,Not in floodplain,MIDDLETOWN CITY SD,441000,547583.6017329975,4585471.790549443
1635,"3476 Route 6, Town of Wawayanda, 10940",24,"Horizons at Wawayanda, LLC",NY-10-90006,,NA,36071011801,98,42,18,41.419393,-74.430589,Horizons at Wawayanda - 5237,107,6,The Michaels Organization,,,,Orange,New Construction,10/26/2008,Not in floodplain,MIDDLETOWN CITY SD,441000,547583.6017329975,4585471.790549443
1637,"94 North Main Street, Spring Valley, 10977",55,"Spring Valley Site IV, LLC",NY-12-90034,,NA,36087012302,97,38,17,41.11516,-74.044122,Spring Valley Family Apartments,55,1,,,,,Westchester,New Construction,6/29/2012,Not in floodplain,EAST RAMAPO CSD (SPRING VALLEY),500402,580251.2299233596,4551981.260829621
1638,"250 E 60th ST, New York, 10022",42,246 E 60th St. Associates LP,NY-08-90005,1014147503,1043348,36061011000,73,28,12,40.76134,-73.964406,250 East 60th St.,42,1,The Wavecrest Management Team LTD.,,,,New York,New Construction,10/30/2007,Not in floodplain,NYC GEOG DIST # 2 - MANHATTAN,310200,587409.1518149213,4512779.877317141
1639,"385 Third AVE, New York, 10016",49,"385 Third Avenue Associates, LP",NY-08-90007,1009087502,1019887,36061006600,74,59,12,40.74165,-73.980864,385 Third Ave,49,1,Met Council on Jewish Property,,,,New York,New Construction,12/26/2007,Not in floodplain,NYC GEOG DIST # 2 - MANHATTAN,310200,586045.3764054518,4510577.878202519
1640,"735 PROSPECT AVENUE, Westbury, 11590",24,Prospect Avenue Apartments LP,NY-06-90012,,NA,36059304204,13,6,3,40.761927,-73.571704,PROSPECT AVENUE APARTMENTS LP,50,2,Cornell Pace Inc,,,,Nassau,New Construction,12/29/2010,Not in floodplain,WESTBURY UFSD,280401,620554.9281388919,4513310.447556553
1640,"822 PROSPECT AVENUE, Westbury, 11590",26,Prospect Avenue Apartments LP,NY-06-90013,,NA,36059304204,13,6,3,40.76186962,-73.56975811,PROSPECT AVENUE APARTMENTS LP,50,2,Cornell Pace Inc,,,,Nassau,New Construction,11/29/2010,Not in floodplain,WESTBURY UFSD,280401,620719.2793786873,4513306.753507886
1641,"245 North Street, Buffalo, 14209",64,"245 North Street, LLC",NY-09-90233,,NA,36029006701,149,63,26,42.902958,-78.878397,245 North Street LLC,64,1,"E Square Capital, Inc.",,,,Erie,Preservation / Rehab,12/31/2008,Not in floodplain,BUFFALO CITY SD,140600,183363.22635115805,4757339.841528372
1642,"132 Cannon ST, Poughkeepsie, 12601",40,Cannon Street Limited Partnership,NY-09-90035,,NA,36027221100,104,39,18,41.70030732,-73.92207936,Cannon Street Senior Apartments,40,1,"Hudson River Housing, Inc.",,,,Dutchess,New Construction,6/4/2008,Not in floodplain,POUGHKEEPSIE CITY SD,131500,589689.0902094131,4617063.836173038
