Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Ken-Ton Presbyterian Village,NY062124201,"3735 Delaware Ave, Tonawanda, 14150",Erie,"Beechwood Continuing Care, Inc","Ken-Ton Presbyterian Village Housing Development Fund Company, Inc.",ROS,,,61,140,26,36029008101,,KENMORE-TONAWANDA UFSD,142601,42.98580531,-78.8725164,800000040,184267.73030141438,4766519.185716581
Lancaster Towers,NY06L000015,"1 Pleasant Ave. West, Lancaster, 14086",Erie,"Benchmark Management of New York, Inc.",Benchmark Lancaster Towers LP,ROS,,,60,143,23,36029014400,,LANCASTER CSD,141901,42.90303949,-78.67064438,800000042,200326.54509357992,4756587.047890758
Lancaster Towers,NY06M000043,"1 Pleasant Ave. West, Lancaster, 14086",Erie,"Benchmark Management of New York, Inc.",Benchmark Lancaster Towers LP,ROS,,,60,143,23,36029014400,,LANCASTER CSD,141901,42.90303949,-78.67064438,800000042,200326.54509357992,4756587.047890758
Wolcott Estates,NY06T851010,"5770 New Hartford St, Wolcott, 14590",Wayne,Wayne County Rural Development Corp Inc,"C.A.S.H. of Wolcott Housing Development Fund Co.,",ROS,,,54,130,24,36117021600,,NORTH ROSE-WOLCOTT CSD,651501,43.2115074,-76.8129248,800000079,352737.7719077227,4785898.243501751
AHRC Housing,NY36T791053,"2710 Kingsland Ave, Bronx, 10469",Bronx,"New York City Association for the Help of Retarded Children Development Company, Inc.","New York City Association for the Help of Retarded Children Development Company, Inc.",NYC,2054704,2045380009,36,80,14,36005036000,,NYC GEOG DIST #11 - BRONX,321100,40.86560504,-73.83863615,800014732,597871.5813903296,4524487.16255304
Ashley Arms,NY06E000003,"1818 South Salina St, Syracuse, 13205",Onondaga,"Housing Visions Consultants, Inc",Housing Portfolio Unlimited,ROS,,,48,128,22,36067005400,,SYRACUSE CITY SD,421800,43.02825125,-76.14684783,800014734,406564.7216446222,4764590.183974104
Aspen Tower,NY06H108005,"350 Front St, Olean, 14760",Cattaraugus,Aspen Associates,Aspen Associates,ROS,,,57,148,23,36009961800,,OLEAN CITY SD,42400,42.08222038,-78.420741,800014735,217050.00009249285,4664569.504893259
Abbey Residences,NY06T801004,"824 Pre-Emption Rd, Geneva, 14456",Ontario,Ontario County ARC,Abbey Residences Inc,ROS,,,54,131,24,36069051502,,GENEVA CITY SD,430700,42.8605208,-77.01235082,800014736,335603.4997374616,4747290.248337375
Abbott Road Residence,NY06T851017,"1135 Abbott Rd, Buffalo, 14220",Erie,Aspire of Western New York Inc,"UCP Developments, Inc",ROS,,,63,142,26,36029000700,,BUFFALO CITY SD,140600,42.83344988,-78.80614221,800014737,188913.43506686052,4749350.245075865
100 Chenango Place f.k.a. ABC Towers,NY02L000019,"100 Chenango St, Binghamton, 13901",Broome,CRM Rental Management Inc,100 Chenango Place,ROS,,,52,123,19,36007001200,,BINGHAMTON CITY SD,30200,42.10171087,-75.90918733,800014738,424822.9693522955,4661469.084334593
Abby Towers,NY36T861039,"50 W 131 St, New York, 10037",New York,Prestige Management Inc,Abby Towers Apartments LP,NYC,1053805,1017280057,30,70,13,36061020800,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81104248,-73.94185204,800014739,589246.2774350112,4518319.971542918
Academy Arms Apts,NY06T841002,"33 Academy St, Oneonta, 13820",Otsego,City of Oneonta Housing Authority,"Academy Arms Housing Dev. Fund Comp, Inc.",ROS,,,51,122,19,36077591100,,ONEONTA CITY SD,471400,42.45215148,-75.06543937,800014740,494619.00224632176,4699982.144895185
Academy Gardens,NY36H110082,"510 Rosedale Ave, Bronx, 10473",Bronx,Winn Management Company LLC,Rosedale Gardens NY LLC,NYC,2021305,2035190005,34,85,14,36005002002,,NYC GEOG DIST # 8 - BRONX,320800,40.81496493,-73.86514707,800014741,595710.208466278,4518836.32826145
Access House,NY36T841009,"220 E 7th St, New York, 10009",New York,Community Access,Access House Inc,NYC,1004683,1003890028,27,74,10,36061002602,500-year,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72424218,-73.979507,800014742,586182.4104972538,4508646.819750289
Addison Place Apts,NY06R000003,"43 William St, Addison, 14801",Steuben,NDC Real Estate Management  LLC,Addison Place Associates,ROS,,,58,132,23,36101962200,,ADDISON CSD,570101,42.09990677,-77.23698275,800014743,315023.6464925385,4663290.405597473
Adirondack Apartments,NY06R000031,"225 Lake Street, Saranac Lake, 12983",Franklin,Innovative Property Management Services LLC,"VOA Adirondack Affordable Housing, LLC.",ROS,,,45,115,21,36033950900,,SARANAC LAKE CSD,161401,44.32260439,-74.14205987,800014744,568410.8525930076,4908062.693440745
Ahepa 37 Apts,NY06T881010,"100 Ahepa Circle, Syracuse, 13215",Onondaga,AHEPA Affordable Housing Management,Ahepa 37 Inc,ROS,,,48,128,22,36067016300,,WESTHILL CSD,420701,43.01412212,-76.1966144,800014745,402487.76889531786,4763077.726300787
Ahi Ezer Apartments,NY360769201,"1960 E 7th St, Brooklyn, 11223",Kings,Ahi Ezer Kings Highway Housing Development Fund Co,Ahi Ezer Kings Highway Housing Development Fund Co,NYC,3178703,3066820045,22,45,9,36047041800,,NYC GEOG DIST #21 - BROOKLYN,332100,40.60284686,-73.9651551,800014747,587553.0863441038,4495185.424914637
Ahi Ezer Plaza,NY36T841020,"530 Kings Hwy, Brooklyn, 11223",Kings,Ahi Ezer Kings Highway Housing Development Fund Co,Ahi Ezer Kings Highway Housing Development Fund Co,NYC,3178594,3066810225,22,45,9,36047041402,,NYC GEOG DIST #21 - BROOKLYN,332100,40.604213,-73.969695,800014748,587167.2065662149,4495332.567172306
AK Houses,NY360004063,"112-126 E 128th St, New York, 10035",New York,Manhattan North Management Company Inc,AK Houses TP4 LLC,NYC,1054499,1017750165,30,68,13,36061024200,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.806206,-73.936779,800014749,589680.6667062507,4517788.2581142485
Albany Crossings Apartments,NY360011129,"7 Albany Ave, Brooklyn, 11216",Kings,Progressive Management of NY V LLC,Albany Kingston LLC,NYC,3053687,3018590010,25,56,8,36047027300,,NYC GEOG DIST #13 - BROOKLYN,331300,40.68045355,-73.93833031,800014750,589718.656169959,4503827.220691388
Albert Goodman Plaza,NY368023026,"970 Boston Rd, Bronx, 10456",Bronx,Management 26 Inc,Albert Goodman LLC,NYC,2004388,2026210001,32,79,15,36005018502,,NYC GEOG DIST # 8 - BRONX,320800,40.82493498,-73.90776037,800014751,592102.4672387975,4519897.433307813
Aldus Green,NY36H108001,"996 Aldus St, Bronx, 10459",Bronx,Kraus Management Inc,Aldus Green Company,NYC,2006081,2027470028,32,85,14,36005011900,,NYC GEOG DIST # 8 - BRONX,320800,40.82300898,-73.88881489,800014752,593702.7740509365,4519703.714947513
Allen Senior Citizens Apartments,NY361099201,"166-01 Linden Blvd, Jamaica, 11434",Queens,LTD Management,Linden Blvd. 166 L.P.,NYC,4435290,4123220001,14,32,5,36081026600,,NYC GEOG DIST #28 - QUEENS,342800,40.690823,-73.783275,800014755,602806.2781759679,4505148.154111347
Allied Manor,NY360004017,"800 Manor Rd, Staten Island, 10314",Richmond,"T.U.C. Management Company, Inc.",Allied Manor Road LLC,NYC,5019056,5007520001,24,63,11,36085018704,,NYC GEOG DIST #31 - STATEN ISLAND,353100,40.60749196,-74.12142506,800014756,574326.5399899678,4495557.357419161
Mohawk Terrace,NY068023010,"35 Wall St, Amsterdam, 12010",Montgomery,CRM Rental Management Inc,Amsterdam Senior Housing LLC,ROS,,,46,111,21,36057070200,,AMSTERDAM CITY SD,270100,42.94052794,-74.19443168,800014758,565723.9966180173,4754525.325471251
Andpress Plaza,NY360016022,"2 Andpress Plz, North Amityville, 11701",Suffolk,RY Management Co Inc,Andpress Plaza Preservation LP,ROS,,,4,11,2,36103123303,,AMITYVILLE UFSD,580106,40.69373764,-73.41615031,800014759,633821.4353054943,4505966.100015255
Andrews Plaza,NY360015050,"1800 Popham Ave, Bronx, 10453",Bronx,Truman Development & Management LLC,Andrews Plaza Housing Associates LP,NYC,2008941,2028770453,31,86,13,36005020502,,NYC GEOG DIST # 9 - BRONX,320900,40.8513041,-73.91768557,800014760,591229.3527774075,4522814.265633136
Antlers Apartments,NY36T851002,"2079 Frederick Douglass Blvd, New York, 10026",New York,Shinda Management Corporation,Selk HDFC Inc,NYC,1075301,1018470021,30,70,13,36061019702,,NYC GEOG DIST # 3 - MANHATTAN,310300,40.80230128,-73.95718737,800014761,587964.3870956632,4517334.123689531
Apple Valley Senior,NY02R000011,"1 Apple Valley Dr A-7, Peru, 12972",Clinton,"Apple Valley Senior Housing Corp., Inc.","Apple Valley Senior Housing Corp., Inc.",ROS,,,45,115,21,36019101901,,PERU CSD,91101,44.5753136,-73.52219741,800014764,617330.8568721226,4936836.988983736
ARC Apartments,NY36T831013,"10 Cedar Lane, Saugerties, 12477",Ulster,"Ulster-Greene Counties Chapter-NYS-ARC, Inc",Ulster Greene ARC Apartments Inc.,ROS,,,41,103,19,36111950300,,SAUGERTIES CSD,621601,42.05765566,-73.95801932,800014767,586216.9162960176,4656702.893895925
Spiti Housing for the Elderly,NY36T851008,"32-06 21st Street, Astoria, 11106",Queens,Hanac Spiti Mgmt Co Inc,"Spiti Housing Associates, L.P.",NYC,4005791,4005300007,59,36,14,36081004500,500-year,NYC GEOG DIST #30 - QUEENS,343000,40.765104,-73.932331,800014768,590111.3990272809,4513230.158411491
Armory Plaza,NY36A016001,"35 South Broadway, White Plains, 10601",Westchester,RA Management LLC,"ARMORY PLAZA HOUSING, L.P.",ROS,,,37,93,16,36119009400,,WHITE PLAINS CITY SD,662200,41.03133279,-73.76249965,800014770,604027.5063405492,4542972.861189745
Asbury Terrace,NY36L000086,"1 River Plaza, Tarrytown, 10591",Westchester,Community Housing Management Corporation,Asbury Apartments LLC,ROS,,,35,92,17,36119011500,,UFSD-TARRYTOWNS,660401,41.07826842,-73.86357792,800014772,595462.5553399214,4548067.779537009
Associated Blind,NY360480201,"135 W 23rd St, New York, 10011",New York,ARCO Management Corporation,The Associated Blind Housing Development Fund Corp,NYC,1014949,1007990021,28,75,12,36061009100,,NYC GEOG DIST # 2 - MANHATTAN,310200,40.743778,-73.994157,800014773,584920.3277311011,4510801.155796608
"Auburn and Northbrook Apartments, LLC.",NY020031033,"Austin Dr, Auburn, 13021",Cayuga,"Two Plus Four Management Co., Inc.","Auburn and Northbrook Apartments, LLC",ROS,,,48,126,24,36011041400,,AUBURN CITY SD,50100,42.951188,-76.55649,800014774,373031.54217254906,4756569.582869422
Audubon Apts,NY360011111,"2323 Adam Clayton Powell Jr Bl, New York, 10030",New York,Manhattan North Management Company Inc,Audubon TP4 LLC,NYC,1058309,1019210001,30,70,13,36061022800,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.816126,-73.942565,800014775,589179.3360616858,4518883.560725308
Autumn Gardens,NY060004004,"818 East High St, Lockport, 14094",Niagara,Capital Realty Group Inc,Autumn Gardens Apartments LLC,ROS,,,62,144,24,36063023902,,LOCKPORT CITY SD,400400,43.1655417,-78.66626368,800014777,201959.101900786,4785726.183584366
Avenue W,NY360014002,"2324 W 11th St, Brooklyn, 11223",Kings,Star Realty Corporation,Avenue W Holdings LLC,NYC,3334547,3071620016,23,45,8,36047038200,500-year,NYC GEOG DIST #21 - BROOKLYN,332100,40.59080328,-73.98141986,800014778,586192.45052267,4493832.4840365695
Avery Village,NY360001009,"1100 Village Drive, East Patchogue, 11772",Suffolk,JMD/Einsidler Management Corp.,Avery Village Associates,ROS,,,3,3,2,36103159110,,PATCHOGUE-MEDFORD UFSD,580224,40.77059881,-72.98633878,800014779,669943.0122002909,4515242.46203015
Baldwin Senior Citizens,NY360016006,"2882 Grand Ave, Baldwin, 11510",Nassau,Broadwall Management Corp,Halandia Associates,ROS,,,6,21,4,36059413700,,BALDWIN UFSD,280210,40.63902571,-73.61298191,800014781,617286.1890666225,4499611.442322135
Bishop Broderick Apts,NY06T801001,"50 Prescott St, Albany, 12205",Albany,DePaul Housing Management Corporation,Bishop Broderick Apartments Housing Development Fund Company Inc,ROS,,,43,110,20,36001013804,,SOUTH COLONIE CSD,10601,42.74371462,-73.86800583,800014782,592650.01283843,4732976.616958988
BRADMAR VILLAGE,NY060012005,"11-D BRADMAR CIRCLE, JAMESTOWN, 14701",Chautauqua,PathStone Management Corp,"Bradmar Village, LLC",ROS,,,57,150,23,36013030700,,JAMESTOWN CITY SD,61700,42.07769138,-79.2222038,800014785,150720.19133238954,4667034.839831551
Brewster Mews,NY06H108017,"925 Robin Road, Buffalo, 14228",Erie,M.J. Peterson Corporation,Brewster Amherst Preservation LP,ROS,,,61,146,26,36029009112,,WILLIAMSVILLE CSD,140203,43.02191346,-78.77387553,800014787,192491.3334230929,4770163.071738611
Badger Creek Meadows,NY06H108034,"40 Creekside Drive, Painted Post, 14870",Steuben,"EDC Management, Inc.",Badger Creek Associates,ROS,,,58,132,23,36101962301,,CORNING CITY SD,571000,42.1477788,-77.11743204,800014789,325041.6072546056,4668354.088126835
Baisley Park Gardens,NY360004025,"125-60 Sutphin Blvd, Jamaica, 11434",Queens,Paths Management Services LLC,"Baisley, LP",NYC,4440628,4120510020,10,32,5,36081018401,,NYC GEOG DIST #27 - QUEENS,342700,40.67370815,-73.78888306,800014790,602358.6009415106,4503241.737164288
Baldwin Acres,NY06R000029,"2 Baldwin Ave, Norwood, 13668",St. Lawrence,Renewal Housing Corporation,"BALDWIN ACRES, INC.",ROS,,,45,116,21,36089491000,,NORWOOD-NORFOLK CSD,512201,44.75150819,-74.99336244,800014791,500525.3975426243,4955346.734237072
Barclay Heights,NY360019020,"13-1 Village Dr, Saugerties, 12477",Ulster,Wilder Balter Partners Inc.,Barclay Heights Housing Associates,ROS,,,41,103,19,36111950300,,SAUGERTIES CSD,621601,42.05535585,-73.95361103,800014793,586584.8012140569,4656451.995208114
Barkley Gardens,NY360019005,"280 N Main Street, Liberty, 12754",Sullivan,"Conifer Management, LLC","Woodlands Barkley, LLC",ROS,,,51,100,19,36105950701,,LIBERTY CSD,590901,41.80437171,-74.74787317,800014794,520944.38456233696,4628086.929191646
Long Manor Apts,NY06T831023,"5500 Miller Rd, Brewerton, 13029",Onondaga,Christopher Community Inc,Bartell Road HDFC Inc,ROS,,,50,127,22,36067010200,,CENTRAL SQUARE CSD,460801,43.22923627,-76.13503949,800014796,407829.090251223,4786896.952408142
Battle Hill Houses,NY36A016005,"13-15 Harmon St, White Plains, 10606",Westchester,"WB Residential Communities, Inc.",Battle Hill Houses Associates,ROS,,,37,93,16,36119009100,,WHITE PLAINS CITY SD,662200,41.0325957,-73.77795118,800014797,602726.6192871544,4543094.756433606
Baytowne Village,NY360016020,"33 N Clinton Ave, Bay Shore, 11706",Suffolk,JMD/Einsidler Management Corp.,BKR Housing Associates,ROS,,,8,7,2,36103147201,,BAY SHORE UFSD,580501,40.7212676,-73.2548941,800014799,647386.0555766516,4509280.402947578
Beaveridge,NY36H108004,"1965 Allan Ave, Yorktown Heights, 10598",Westchester,Jobco Management Inc,"Beaveridge Housing Associates, L.P.",ROS,,,40,94,17,36119014809,,YORKTOWN CSD,662402,41.27118864,-73.78440944,800014800,601813.8611354661,4569574.764541019
Beckwith Road Residence,NY06T821030,"181 Beckwith Rd, Henrietta, 14586",Monroe,"CDS Monarch, Inc.",Confac Group Homes Inc,ROS,,,56,138,25,36055013205,,RUSH-HENRIETTA CSD,261701,43.06664563,-77.66280634,800014802,283188.38028212416,4771657.293219384
Bedford Development,NY360015024,"1585 Bedford Ave, Brooklyn, 11225",Kings,Star Realty Corporation,"Bedford Avenue Associates, L.P.",NYC,3033481,3012810011,20,57,9,36047032300,,NYC GEOG DIST #17 - BROOKLYN,331700,40.66815245,-73.9558087,800014803,588257.8037068921,4502444.028881989
Kingston Heights Apartments,NY36A004003,"305 Decatur Ave, Brooklyn, 11233",Kings,Progressive Management of NY V LLC,Kingston Heights Housing LLC,NYC,3047131,3016760001,25,56,8,36047029700,,NYC GEOG DIST #16 - BROOKLYN,331600,40.681824,-73.931551,800014805,590289.7168349995,4503986.291942359
Bedford Stuy-NSA II,NY36A004001,"129 PATCHEN AVE, BROOKLYN, 11221",Kings,Truman Development & Management LLC,Bedford Stuyvesant NSA II Redevelopment Co.,NYC,3045317,3016480006,25,56,8,36047038500,,NYC GEOG DIST #16 - BROOKLYN,331600,40.68724925,-73.926777,800014806,590685.79814895,4504593.444824542
Beekman Towers,NY02L000028,"50 Truman Ave, Plattsburgh, 12901",Clinton,Housing Management Resources Inc.,"LIH Beekman Towers Associates, LLC",ROS,,,45,115,21,36019100901,,PLATTSBURGH CITY SD,91200,44.70947943,-73.46726655,800014807,621411.9239434595,4951820.6852280125
Bennett Manor,NY020034005,"100 Bennett Manor Dr, East Syracuse, 13057",Onondaga,City Renewal Management Corp,Bennett Manor Associates LP,ROS,,,50,128,22,36067014300,,EAST SYRACUSE MINOA CSD,420401,43.06776624,-76.06227096,800014814,413510.91576121555,4768887.690651428
Bensonhurst Housing for the Elderly,NY36T881029,"2164 78th St, Brooklyn, 11214",Kings,"T.U.C. Management Company, Inc.","Bensonhurst Housing, L.P.",NYC,3331517,3062640029,17,47,11,36047027000,,NYC GEOG DIST #20 - BROOKLYN,332000,40.60678479,-73.98988656,800014815,585455.6301511297,4495598.2484875135
Scheuer Gardens,NY36T801030,"2540 Barker Ave, Bronx, 10467",Bronx,"T.U.C. Management Company, Inc.",Scheuer Gardens L.P.,NYC,2051290,2044280019,36,80,15,36005033202,,NYC GEOG DIST #11 - BRONX,321100,40.8644705,-73.8691672,800014818,595300.2162991917,4524327.537837975
Bethany Apartments,NY36T811052,"415 Bleecker St, Brooklyn, 11237",Kings,Progress of Peoples Mgmt Corp,"Sr. Lucian Senior Apartments, L.P.",NYC,3325698,3033030001,18,53,7,36047044100,,NYC GEOG DIST #32 - BROOKLYN,333200,40.70309234,-73.91351197,800014819,591784.9466557545,4506365.906911698
Bethany Village,NY02H108009,"800 Bethany Village, West Coxsackie, 12192",Greene,CRM Rental Management Inc,"BETHANY VILLAGE HOUSING DEVELOPMENT FUND CO., INC.",ROS,,,41,102,19,36039080700,,COXSACKIE-ATHENS CSD,190501,42.36036024,-73.8231508,800014820,596912.6597112903,4690458.536148629
Bethel Estates,NY06H108003,"4647 Southwestern Blvd, Hamburg, 14075",Erie,Renewal Housing Corporation,Bethel Estates Limited Partnership,ROS,,,60,149,23,36029012902,,FRONTIER CSD,141604,42.75863827,-78.83219552,800014821,186405.6576304785,4741138.051221976
Bethel Manor,NY36L000051,"50 W 132nd St, New York, 10037",New York,Concord Manor LTD,Bethel Manor LLC,NYC,1053863,1017290052,30,70,13,36061020800,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81146113,-73.94083663,800014822,589331.3589987727,4518367.479653997
Bishop Gibbons Apartments,NY06H108026,"1110 Payne Ave, North Tonawanda, 14120",Niagara,Optimum Affordable Management Company LLC,Bishop Gibbons Associates LP,ROS,,,62,140,26,36063022901,,NORTH TONAWANDA CITY SD,400900,43.05428161,-78.87981936,800014824,184024.15024468204,4774152.117227413
Bishop Harrison Apts,NY06T881007,"300 Pond St, Syracuse, 13208",Onondaga,Christopher Community Inc,Pond Street HDFC Inc,ROS,,,48,129,22,36067001400,,SYRACUSE CITY SD,421800,43.0644135,-76.15150069,800014825,406240.7412644059,4768611.218469637
Bishop Hubbard Senior Apartments,NY06T831026,"54 Katherine Dr, Clifton Park, 12065",Saratoga,DePaul Housing Management Corporation,Halfmoon Housing Development Fund Company Inc,ROS,,,44,112,20,36091062409,,SHENENDEHOWA CSD,520302,42.84016498,-73.73885882,800014826,603060.2236808832,4743836.930391152
Bishop Kellenberg Gardens,NY36T811041,"2477 Long Beach Rd, Oceanside, 11572",Nassau,Stanan Management Corp.,Bishop Kellenberg Gardens For Sr Ctz HDFC,ROS,,,6,21,4,36059413100,,OCEANSIDE UFSD,280211,40.65175301,-73.63573557,800014828,615340.1673418881,4500994.174372804
Bishop Ludden Apts,NY06T901004,"815 Fay Rd, Geddes, 13219",Onondaga,Christopher Community Inc,Ludden HDFC Inc,ROS,,,50,129,22,36067013200,,WEST GENESEE CSD,420101,43.034349,-76.20748926,800014829,401633.87005458144,4765336.616906518
Bishop Ryan Village,NY36T861042,"31 Montauk Highway, Hampton Bays, 11946",Suffolk,Stanan Management Corp.,Bishop Gerald J Ryan HDFC Inc,ROS,,,1,1,1,36103190403,,HAMPTON BAYS UFSD,580905,40.87905702,-72.52097721,800014830,708879.7170630815,4528289.782566413
BMR #3,NY06L000001,"491 Connecticut St, Buffalo, 14213",Erie,WINGATE MANAGEMENT CO. INC,New Buffalo 12 LLC,ROS,,,63,149,26,36029006701,,BUFFALO CITY SD,140600,42.90804531,-78.88294163,800014833,183018.26456115203,4757922.000873035
Parkview Apartments,NY02L000003,"400 Hudson Ave, Albany, 12203",Albany,"Wingate Management Company, LLC.","TMG-NY Albany I, LP",ROS,,,46,109,20,36001001500,,ALBANY CITY SD,10100,42.6594813,-73.77710141,800014834,600225.7422946936,4723726.756271871
Borinquen Court Site 603,NY361310201,"285 E 138 Street, Bronx, 10454",Bronx,West Side Federation For Senior and Supportive Housing,"Borinquen Court Associates, L.P.",NYC,2000689,2023140010,29,84,15,36005003900,,NYC GEOG DIST # 7 - BRONX,320700,40.81076778,-73.92639371,800014835,590550.4592344956,4518305.331434659
Borough Park Courts,NY36H110102,"970 42nd St, Brooklyn, 11219",Kings,"B.P. H.A.N.D., Inc.",Borough Park Courts Associates LP,NYC,3135791,3055950030,17,51,10,36047011200,,NYC GEOG DIST #15 - BROOKLYN,331500,40.64329378,-73.9954455,800014836,584939.0672524672,4499645.542432297
Boston Road,NY36L000046,"1683-85 Boston Rd, Bronx, 10460",Bronx,Urban Home Ownership Corporation,Boston Road HDFC Inc,NYC,2009883,2029400065,32,79,15,36005015500,,NYC GEOG DIST #12 - BRONX,321200,40.836788,-73.889398,800014837,593634.213725119,4521232.690565635
Boston Road,NY36M000221,"1683-85 Boston Rd, Bronx, 10460",Bronx,Urban Home Ownership Corporation,Boston Road HDFC Inc,NYC,2009883,2029400065,32,79,15,36005015500,,NYC GEOG DIST #12 - BRONX,321200,40.836788,-73.889398,800014837,593634.213725119,4521232.690565635
BRACO-I,NY06L000002,"352 Franklin St., Buffalo, 14202",Erie,Corvus Property Intelligence,"Linwood-Allentown Preservation, LLC",ROS,,,63,141,26,36029006801,,BUFFALO CITY SD,140600,42.8944902,-78.87435897,800014839,183649.5766700398,4756384.155396646
Community Residence Brady Avenue,NY36T801052,"21 Brady Ave, Newburgh, 12550",Orange,Orange County Chapter AHRC,Orange Housing Incorporated,ROS,,,39,104,18,36071000400,,NEWBURGH CITY SD,441600,41.51147462,-74.00730388,800014840,582839.053565361,4596013.773278971
Brandywine Apartments,NY020024004,"800 Brandwine Parkway, Guilderland, 12084",Albany,The Brandywine Company L.P.,The Brandywine Company L.P.,ROS,,,46,109,20,36001014615,,GUILDERLAND CSD,10802,42.69560738,-73.89114293,800014841,590826.4446977645,4727609.433440624
4th Senior Housing,NY02R000008,"32 Church St South, Brasher Falls, 13613",St. Lawrence,LBSH HOUSING CORPORATION,LBSH HOUSING CORPORATION,ROS,,,45,117,21,36089490700,,BRASHER FALLS CSD,510101,44.80283032,-74.77372463,800014842,517895.0195088898,4961072.627769094
Brentwood Village,NY360001010,"95 Second Ave, Brentwood, 11717",Suffolk,JMD/Einsidler Management Corp.,Village Housing Associates,ROS,,,4,6,2,36103146105,,BRENTWOOD UFSD,580512,40.77838881,-73.23824878,800014843,648664.6170778397,4515649.649246318
North Hill Apartments,NY36H108027,"345 N State Rd, Briarcliff Manor, 10510",Westchester,E & M Management Corporation,Briarcliff Manor Associates,ROS,,,40,95,17,36119013202,,BRIARCLIFF MANOR UFSD,661402,41.1563299,-73.82499533,800014844,598586.7747247113,4556776.735274956
Briarwood Meadow Apt,NY06R000016,"120 Stone Drive, Black River, 13612",Jefferson,Winn Management Company LLC,120 Stone Drive LLC,ROS,,,49,117,24,36045061102,,CARTHAGE CSD,222201,44.00671,-75.806184,800014845,435372.121931578,4872933.999039947
Brick School Terrace,NY02H108049,"311 North Ave, Syracuse, 13206",Onondaga,American Properties Team Inc,Brick School Terrace (16th Apt),ROS,,,48,129,22,36067001000,,SYRACUSE CITY SD,421800,43.07208265,-76.11410487,800014846,409296.97832367395,4769421.77356651
Bridgeview I,NY36L000096,"8-15 27Th Ave, Astoria, 11102",Queens,Efthimios Zisimopoulos,"Realty Equity Holdings 3820, LLC",NYC,4020639,4009080001,59,36,14,36081008700,,NYC GEOG DIST #30 - QUEENS,343000,40.77435734,-73.93109545,800014856,590203.1659627965,4514258.6222033445
Bridgeview II,NY36L000097,"26-45 9Th St, Astoria, 11102",Queens,Efthimios Zisimopoulos,Bridgeview II LLC,NYC,4020620,4009030007,59,36,14,36081009100,,NYC GEOG DIST #30 - QUEENS,343000,40.77427841,-73.93065859,800014857,590240.1393350305,4514250.309661263
Broadway Terrace Apartments,NY36A020001,"182 N BROADWAY, YONKERS, 10701",Westchester,"Nelson Management Group, Ltd.",BROADWAY TERRACE ASSOCIATES,ROS,,,35,89,16,36119000602,,YONKERS CITY SD,662300,40.94055379,-73.89465872,800014859,593045.1931631097,4532746.156322297
Bronner Manor Apartments,NY06R000036,"24 Park St, Richfield Springs, 13439",Otsego,Midtown Management Associates,"Amitas Properties of Richfield, LLC",ROS,,,51,122,21,36077590301,,RICHFIELD SPRINGS CSD,472001,42.85095556,-74.98964082,800014860,500846.3976708273,4744263.932740118
The Brook Apartments,NY06H108048,"2420 Oneida St, Utica, 13501",Oneida,HK Guilford Management NY LLC,Brook Associates,ROS,,,53,119,22,36065021701,,UTICA CITY SD,412300,43.07563958,-75.26617896,800014866,478330.81852517114,4769248.874962552
Brookhaven I,NY36H110089,"197 Brook Ave, Bronx, 10454",Bronx,Dolphin Property Services LLC,Brookhaven Apartments Owner LLC,NYC,2000029,2022640014,29,84,15,36005002500,,NYC GEOG DIST # 7 - BRONX,320700,40.80653922,-73.92015894,800014868,591082.1058487236,4517842.383884102
Restore Housing Apartments,NY36M000188,"234 Herkimer St, Brooklyn, 11216",Kings,Shinda Management Corporation,260 Herkimer Street LP,NYC,3323075,3018680028,20,56,8,36047024700,,NYC GEOG DIST #13 - BROOKLYN,331300,40.67928006,-73.94530748,800014869,589130.588594382,4503689.856880859
Brooklyn Home For Aged People,NY36T781032,"1095 Saint Johns Place, Brooklyn, 11213",Kings,Shinda Management Corporation,BHAP HDFC Inc,NYC,3324522,3012510001,20,43,9,36047033900,,NYC GEOG DIST #17 - BROOKLYN,331700,40.67130743,-73.94148789,800014870,589464.0401650119,4502808.726815519
Brookside Apts,NY06R000007,"23 Columbia St, Apts 1-16, Oxford, 13830",Chenango,"Chenango Housing Improvement Program, Inc.","Chenango Housing Improvement Program, Inc.",ROS,,,51,121,19,36017970700,,OXFORD ACADEMY & CSD,81501,42.441086,-75.6030176,800014871,450405.80508186884,4698927.508593831
Brookwood on the Lake,NY360001019,"1507 Round Pond Rd, Lake Ronkonkoma, 11779",Suffolk,"Campbird Management Co., LLC",Brookwood Ronkonkoma LLC,ROS,,,3,5,1,36103158502,,SACHEM CSD,580205,40.83251663,-73.09420096,800014873,660690.0074051671,4521912.834831865
Brown Square Village,NY06R000013,"2100 Brown Sq, Ontario, 14519",Wayne,Conifer Realty LLC,"Brown Square I Associates, L.P.",ROS,,,54,130,24,36117020106,,WAYNE CSD,650801,43.22258987,-77.27948763,800014875,314871.69997511874,4788056.183638463
