Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
North Street Apts,NY06T871002,"260 West North St, Geneva, 14456",Ontario,Christopher Community Inc,Geneva General Housing Dev Fund Co Inc,ROS,,,54,131,24,36069051700,,GENEVA CITY SD,430700,42.87602843,-76.99039403,800015582,337438.00412915397,4748969.745063715
Northcliffe Apartments,NY060024002,"10 Northcliffe Rd, Cortland, 13045",Cortland,Housing Management Resources Inc.,Conifer Cortland Associates,ROS,,,52,125,19,36023970900,,CORTLAND CITY SD,110200,42.59087037,-76.16886854,800015585,404097.2093872834,4716045.3546242155
Northeastern Conference House,NY361416201,"131-10 Guy R Brewer Blvd, Jamaica, 11434",Queens,Shinda Management Corporation,Northeastern Conference House HDFC Inc,NYC,4266168,4122770001,10,32,5,36081029400,,NYC GEOG DIST #27 - QUEENS,342700,40.67556952,-73.77799607,800015586,603275.8728614291,4503461.097815815
Northern Housing,NY02R000001,"Rt. 9, Champlain, 12919",Clinton,Northern Housing,Northern Housing,ROS,,,45,115,21,36019100101,,NORTHEASTERN CLINTON CSD,90501,44.979862,-73.445807,800015587,622537.1174956904,4981888.240991373
Northwood Village,NY360006013,"507 W Main St, Patchogue, 11772",Suffolk,The Metro Group,Metrohouse Constructors,ROS,,,3,7,2,36103158901,,PATCHOGUE-MEDFORD UFSD,580224,40.75998179,-73.031737,800015590,666137.8492740812,4513976.83382752
Notre Dame Apts,NY36T841042,"660 E 183rd St, Bronx, 10458",Bronx,Belmont-Arthur Avenue Local Development Corp,Notre Dame HDFC Inc,NYC,2012411,2030850045,33,78,15,36005039100,,NYC GEOG DIST #10 - BRONX,321000,40.85214559,-73.88664244,800015592,593844.868957631,4522940.478572866
Noyes Manor,NY02R000004,"600 W Hinds Ave, Sherrill, 13461",Oneida,CRM Rental Management Inc,Sherrill-Kenwood Community Retirement Housing Corp,ROS,,,53,122,22,36065024800,,SHERRILL CITY SD,412000,43.0729199,-75.60697531,800015593,450584.92411250214,4769091.2350225905
Nueva Era Apts,NY36A003004,"287 Audubon Ave, New York, 10033",New York,Wavecrest Management Team Ltd,287 Audubon Owner LLC,NYC,1063596,1021520036,31,72,13,36061026100,,NYC GEOG DIST # 6 - MANHATTAN,310600,40.84777378,-73.93286433,800015594,589954.6730125321,4522406.667136121
Nyack Plaza Apartments,NY360006081,"801 Nyack Plaza, Nyack, 10960",Rockland,Community Housing Management Corporation,Nyack Plaza Housing Associates,ROS,,,38,96,17,36087013102,,NYACK UFSD,500304,41.08917743,-73.9197154,800015595,590731.7671557748,4549218.880700606
O'Neil Apartments,NY020019006,"2121 6th Ave, Troy, 12180",Rensselaer,"Wingate Management Company, LLC.","Oneil Owners, LLC",ROS,,,43,108,20,36083040701,,TROY CITY SD,491700,42.73438221,-73.68566355,800015598,607590.4634386766,4732156.573159805
One Temple Square Apartments,NY06H108018,"1 Temple Square, Fredonia, 14063",Chautauqua,"Northeast Housing Management Associates, Inc.",One Temple Square Associates,ROS,,,57,150,23,36013035800,,FREDONIA CSD,62201,42.44005955,-79.33140625,800015599,143734.68675345537,4707733.8658562945
Oakwood Gardens,NY36H108041,"630 East Lincoln Avenue, Mount Vernon, 10552",Westchester,"R Y MANAGEMENT CO., INC.",Oakwood Gardens Preservation LLC,ROS,,,36,89,16,36119004100,,MT VERNON SCHOOL DISTRICT,660900,40.91629925,-73.81498279,800015602,599788.7572683857,4530141.4780409355
Onondaga Community Residence,NY021130201,"107 Washburn Dr, E Syracuse, 13057",Onondaga,Onondaga Association for Retarded Citizens,Onondaga Community Residence Corp,ROS,,,50,128,22,36067014500,,EAST SYRACUSE MINOA CSD,420401,43.07617821,-76.07503168,800015603,412483.9129766228,4769835.083102218
Oceanview and Heyson Gardens,NY36L000045,"249 Beach 15th St, Far Rockaway, 11691",Queens,Progressive Management of NY Corp,Oceanview Heyson Limited Partnership,NYC,4299259,4156290062,10,23,5,36081101004,100-year,NYC GEOG DIST #27 - QUEENS,342700,40.59726247,-73.74927724,800015607,605826.6582695364,4494802.64562985
Ogden Mill Apts,NY06A013002,"1 Ogden Mill Plz, Cohoes, 12047",Albany,American Properties Team Inc,OGDEN MILL (10TH APT) LP,ROS,,,43,108,20,36001012900,,COHOES CITY SD,10500,42.77499011,-73.70243529,800015608,606148.1854731747,4736644.67055359
Ohav Sholom Apartments,NY02L000001,"115 New Krumkill Rd, Albany, 12208",Albany,Beacon Residential Management Limited Partnership,115 Krumkill Housing LP,ROS,,,46,109,20,36001001802,,ALBANY CITY SD,10100,42.66207502,-73.82233291,800015609,596514.6238306053,4723962.139330315
Oneida Towers II,NY020034002,"226 Farrier Ave, Oneida, 13421",Madison,Oneida (City of) Housing Authority,Oneida (City of) Housing Authority,ROS,,,53,122,22,36053030102,,ONEIDA CITY SD,251400,43.09433353,-75.65549979,800015610,446653.0216244368,4771498.952234407
Overlook Apartments,NY36H108059,"250 Overlook Drive, Middletown, 10940",Orange,RA Management LLC,"Middletown Overlook Preservation, LP",ROS,,,42,100,18,36071001500,,MIDDLETOWN CITY SD,441000,41.4282249,-74.42835286,800015616,547763.995969865,4586453.524857012
